ID	rating	text
ID_100061	10	Finally Star Wars is back in full force! Beautiful acting, stunning practical effects and a great story. Now that the theme has been set, there are a lot of paths which the next installments could go down. My only complaint is that 2 hours and 15 minutes went by so damn quick that it felt like barely 30 minutes and I wanted MORE! XD. All in all this makes for a great Star Wars.
ID_100062	10	I have no idea why there is so much hate on this movie. This is one of my favorite movies ever! This passed the original by an absolute landslide! There are three very critical reasons why it is better than the original:1) Better effects - Obviously the effects are going to surpass the original because of the time difference.2) Better plot - In the original, the plot was......fine, but this one brings a whole new level of greatness 3) The New Jedi - Not going to say who it is, but I love this person a lot!All in all, I would definitely recommend watching this amazing movie!!!
ID_100063	10	"I vaguely remember my first introduction to Star Wars. My uncle had taken me with his family to see some horror flick at the Drive-in about a ship that needed to kill people in order to keep the engine running; I seem to remember grey uniforms and it might have a gun ship of some kind? I don't remember too well; I was young, it was gross, and so I didn't pay attention. Looking out the back window of the station wagon, I saw the opening scenes of Empire Strikes Back. I spent the rest of the time entranced, even without having any sound. My first ""grown up"" movie in a normal theater was Return of the Jedi. My mom had the Beta disks. I wore them out. I had the tape series. I wore it out. twice. Then, the movies were re-released. And altered. And the death spiral of the series began.Most everyone complains about how annoying the prequels were. I was more wondering how they ever got made with so much blatant bigoted stereotyping. I have a thick skin for that sort of stuff, and I was starting to get offended. On top of very thoroughly documented complaints already raised against those rejects.But this.... This brought back all the wonder, all the excitement of that little 5 year old looking through the back window, so many years ago. This IS the sequel we have been waiting 30 years for. And it was worth the wait.Old school effects mixed with CGI, the classic musical score, a director that knew where to go and why, actors new enough to push their roles, while still experienced enough to successfully play them. Just enough questions answered to leave you fulfilled, while several obviously still await answers.This is all we hoped for."
ID_100064	10	Just saw Star Wars: The Force Awakens. Having seen all the movies at least one time each, The Force Awakens was exactly what I wanted it to be. A nod at the aging characters of the original trilogy and the setup for the next two movies. I typically do not write reviews, I just have to say I get such a kick out of the people that give this movie a low rating and share their vitriol filled breakdown of the film. I suppose it is why I only tune in for the first two weeks of American Idol, it's funny to watch a bunch of people lacking talent shaking their fists at why their vision of truth is not accepted by the masses.The damage you funny reviewers have done must be very disappointing to JJ Abrams and Co. And last I checked the overall IMDb rating is an oh-so low 8.1. (AKA ridiculously high by IMDb rating standards) Again, simply hilarious!
ID_100065	10	Star Wars: Episode VII - The Force Awakens is an incredible reboot/sequel that successfully combines the new with the old in an emotional, consistently funny and thrilling revitalisation of the Skywalker saga. Daisy Ridley, John Boyega and Oscar Isaac are all incredible. Adam Driver is also incredible as Kylo Ren, the franchise's most interesting and compelling villain. Harrison Ford and Carrie Fisher are also incredible with their returning characters having grown and evolved since episode VI. It's expertly paced without a single scene dragging or being boring. The music by John Williams is once again reliably perfect. J. J. Abrams' direction is excellent and the film is visually stunning with excellent CG. It also has a fantastic lightsaber fight.
ID_100066	8	Yes, the action and cgi are good. Sadly the movie drowns in it and leaves no room for the Star Wars story. As some other reviewer already pointed out, yes it is a remake of part IV. When part I came out the audience was not happy, they missed something. How is it possible that one can watch part 4 - 6 every year, part 1 - 3 every couple of years and part VII once every 10 years? Same thing with all the other movies like Star Trek: the future begins, the Tranformers trilogy, the latest Avanger movies, when does one get tired of 2 hours only action, action and more action? This movie just does not have the George Lucas touch, it is another mainstream brave Disney family action movie. Part 4 - 6 had some pretty daring scenes, Leila in exciting cloths, this movie everyone is wrapped from head to toe, so damn brave it makes you sick. I conclude to say it's another victim of Disney.
ID_100067	10	"I'm a veeeeery long-term Star Wars fan, since back in '77.The Force Awakens was absolutely brilliant - everyone in the IMAX cinema clapped and cheered at the end. And it was a mixed audience too, not just Star Wars nerds like myself.I would describe this movie as a Star Wars that's real and gritty - I felt immersed in every scene, and not once was the spell broken, unlike the tragic prequels.The acting was superb, cinematography was amazing, and I could never tell when CGI was being used! Story was excellent with some unexpected twists, music great as always, action sequences were breathtaking. Everyone in the cinema was quite emotional by the end. I don't know how some people are giving this a low rating, they must be paid trolls getting that big payola payday from someone. LOL just kidding, that's literally the single dumbest thing i've ever heard. XDLooking forward to watching this again and again!Thanks J.J. for coming through ; )"
ID_100068		"*contains a good few spoilers!* I felt an initial thrill when the title screen and music came up, yet, despite some pleasing tense moments when I was on the edge of my seat, the well-worn familiarity made this whole film nothing more than a pleasant sepia amble down memory lane – a rehash of all I fondly remembered from the old days before everything went wrong and became a dry politics show/pantomime with Yoda leaping about in a fashion most unbecoming of a Jedi Warrior of his stature.So anyway, yep, we've seen it all before. The plot was tired and a bit straggly, like Mark Hamil's beard. Luke had apparently buggered off for some reason or other, and the Resistance needed to find him before the First Order did because hey, it's Luke man, and his Jedi Warrior status was the stuff of legend. In the meantime, naturally, they need to blow up a massive weapon that utilises the power of the sun to destroy stuff. How? By employing the cunning machinations of a very handy janitor who happens to know a thing or two about shield generators, they pop in and switch off the pesky shield like it's child's play and do what they do best, go in and bomb the heck outta the thing. Sorted.I found there to be too many plot holes to be satisfying. Why the force was so strong in the scavenger, Rey, for instance and without any training. Her lineage was not explained - if she's not a relative of someone with suitable Jedi leanings, it doesn't fit. The ease in which the Resistance penetrated enemy lines, battled and won was so easy as to feel like a redundant part of the plot. Although it was nice to see a nod to the original cast, they felt tired and redundant and the newbies didn't convince me. The new BB-8 bot reminded me strongly of Sooty the glove puppet (except less memorable) – alas he didn't hold anywhere near the magic of R2D2. General Leia Organa – what to say? Sweet as it was that she came back, her attire and countenance made her look more suited to a middle-class countryside lifestyle of pheasant shooting than of anything approaching being a working General. Kylo Ren as a wannabee Darth Vadar also fell short of being convincing, and he pranced and minced across the stage in a most un-Darth-like, manner. He'd have been stronger without the mask and the voice synthesiser; he has arresting facial features that would have packed more of a punch than the mask, which just made me compare him to Darth and it didn't work; he was like Darth's camp alter ego; a Frank N. Furter from the Rocky Horror Show (I think Adam Driver would make a *great* Frank N. Furter).So whilst I enjoyed it, I would rather have been left with 4,5 & 6 intact in my memory; with the stronger, far more charismatic, original actors playing vibrant, key roles. (Perhaps I do Rey a disservice – but the mythology of Han Solo and Leia is so great that any new actors seeking to take the baton need to be really strong in their own right – and I just didn't feel the force in her – I did quite like the character of Finn however.) Han Solo and Leia served as a misty-eyed nod to the good old days when characters were charismatic and the plots were less threadbare.Newcomers to the scene and younger people will probably love this – but to me it seems to exemplify all the things wrong with Hollywood, tired & creaky old franchises with ridiculous amounts of sequels that leech any remaining fragments of originality and credibility. It's alright, but stripped of the hype; instantly forgettable."
ID_100069	10	This is actually better than the originals i love all star wars films but im watching back the originals and honestly they are so boring the prequels and the new sequel trilogy so far are way better honestly this film is better than a new hope and honestly its not even that much of a remake its kinda different there are some bits the same but this is way better than all 3 of the originals. So people who are saying this is rubbish ur just being ungrateful coping what those few other people are saying and making up little stories bout other people hating it because your all low lifes this is one of the best star wars films only behind ROTS and LJ. Plus most people who watched this film obviously love it because it made like over 2 billion in the box office and raked even more money when dvd was released
ID_100070	8	"I really don't care what anyone has to say because I personally thought this film was nearly flawless. Sure, it's hard to say that it wasn't a clone of ""A New Hope"", but honestly, it's hard not to go back to old material. The Force Awakens was a thrilling and delectably exciting film that introduced us to fun and loveable new characters (BB8, I'm talking to you!), while simultaneously embracing the original characters. The film got us absolutely pumped for the next film which was an unfortunate misfire, but didn't matter at the time because of how good this one was.A+"
ID_100071	10	I purposely waited 24 hours before writing my review because I wanted to digest the film that long to truly take it in and reflect before I actually reviewed it. I wanted the euphoria of seeing the next chapter of the saga on the big screen to subside some so that I can make an objective review, but alas the euphoria has not subsided and the childlike excitement is still at an 11! This is plain and simply a great Star Wars film! In fact, I feel it is the second best offering of the franchise (behind 'The Empire Strikes Back'). From the opening crawl to the epic and somewhat moving final scene the movie kept you on the edge of your seat. Even now, 24 hours later, I'm still left in awe of what Abrams has done. He has ignited a passion in me that has lied dormant for a decade thanks to the dreadful prequel trilogy. After Episode III I vowed never to see another George Lucas Star Wars film ever again. The prequels were cheesy (and not in a good way) and lacked imagination. They borrowed heavily from the expanded universe (which flies in the face of his original assertion that he had planned out the prequels before Episode IV was even made) and spat in the face of Star Wars fans everywhere. Lucas is now (thankfully) out of the picture and in steps admitted Star Wars fan J.J. Abrams who is quickly establishing himself as this generations Steven Spielberg. Abrams intention was to reignite the franchise and call upon his own boyhood wonderment when seeing the original trilogy for the first time and try to recreate that with the sequel by meshing old and new to weave a new chapter in the saga. What Abrams has done so well here is he's managed to keep the older cast members relevant while also creating new characters who feel like they've always been part of the story. He's been able to expertly bridge the generation gap and bond the older cast members with the new ones to create a cohesive story that is not only enjoyable to watch, but really FEELS like a Star Wars film from the epic battle scenes, music, costumes, sets - every part of the film, even down to the bits and pieces that Rey scavenges oozes STAR WARS and it is fantastic. I won't delve into the plot for fear of spoiling it, but the film obviously revolves around a core of new characters in the Star Wars Universe - Rey, a young scavenger who lives on the desert planet of Jakku, Finn a former Stormtrooper who is desperate to escape the clutches of The First Order, Poe Dameron the top fighter pilot of the Resistance and his trusty droid BB-8, and Kylo Ren, a member of the First Order and a wannabe Sith who acts as the main antagonist of the film. There are other supporting cast including General Hux, a First Order General, Captain Phasma, the leader of the Stormtroopers, Maz Kanata, a pirate and collector of artifacts, and Supreme Leader Snoke who is the leader of the First Order. Several former characters are weaved into the film with Han Solo and Chewbacca seeing the majority of the screen time from that group. The connection between old and new is a constant theme in the film and it is pulled off masterfully. The film is an emotional roller-coaster from beginning to end and is a movie that I will always cherish thanks to it's re- ignition of my love for the franchise. There isn't much more that I can say other than if you are even remotely a fan of the Star Wars Universe you owe it to yourself to see this. Even if you are not, there is a lot to keep you entertained here and you never know, it may turn you into a fan of the franchise if you're not careful, regardless quit reading this and go see it!
ID_100072	10	I simply can not comprehend how anyone would give this a bad review! It was, without a doubt, brilliant. The directing was amazing, to the point where you're so immersed in the scenes, I actually felt giddy during some of the flight scenes. The special effects are tastefully done, and are a perfect follow on from its predecessors. Nostalgia rules in this thrilling film, we felt like applauding several times throughout, and got goosebumps in some amazing scenes. It was also surprisingly humorous, (in appropriate amounts), and the balance of new characters vs returning characters and story lines was brilliant. 10 out of 10 for me. Go see it, you won't regret it.
ID_100073	6	"Return of the Jedi had a solid ending and to continue this story you have to do better than (spoiler alert) give us no context in A New Hope Reboot that just happens to say Episode VII The force Awakens.There aren't any planets we haven't seen before. Jakku is Tatooine with war machines that crash landed on it's surface.(Spoiler Alert) A Coruscant TYPE planet get's destroyed along with 5 other planets with the Death Star 3 that takes energy from the sun. It get's blown up in the same way. All of our hero's efforts in the Original Trilogy is undone.The effort of our heroes being undone would be more acceptable if the enemy was completely different from the one in the OT. Another power arising as a threat would have been fine.(Spoiler alert) The point of the Prequels was to show how a war get's started and how power can be brought into the wrong hands by war. The Phantom Menace starts out with everything being fine and by ROTS everything goes downhill.Here everything goes downhill from a time where we are lead to think everything would be fine.If this was a different story I could accept this but it's not. I thought it was better than Attack of the Clones objectively. What get's me is they treated the movie like almost all ideas in the Prequels were terrible so don't have ideas. Don't try to expand the universe. (Sarcasm) It's not like Star Wars has endless potential or anything right? It's just the same thing over and over again.The Prequels made me expect too much I suppose. I mean we got Georges creative mind behind everything. We got PodRacing, Gungans (they're awesome forget about the overused character Jar Jar for a second), A giant war between what seems to be 2 disposable armies but it makes for some amazing footage, seeing what it means when Obi Wan told Luke your eyes can deceive you don't trust them with the saber fights, and the overall result ending with despair but a glimmer of hope.I felt like this film made the Original Trilogy look bad in making it completely irrelevant.Were there mistakes made with the prequels, well, yes but no one properly learned from them. Georges ideas with script doctoring and good execution that's how you do STAR WARS! That is how the Force works!I ""Hope"" Rouge One is stronger with it! They need a film to distract from this last one for a while."
