ID;rating;Prediction;text
ID_100034;5;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;We waited for years, and it's finally here. At 3 o'clock this morning I entered the cinema wide-eyed, full of hope. As was with many people's childhoods, Star Wars was a staple of mine, and to this day the original trilogy still stand as some of my favourite films. J.J. Abrams famously managed to reignite the Star Trek franchise with two fantastic films, so when tasked with doing similar to Star Wars, some people were sceptical, but nonetheless excited. The main questions is: did he deliver? Yes he damn well did!You know that tight throat feeling you get when you have a sudden urge of adrenaline, for the last hour of the film, I had that feeling, sitting there on the edge of my seat, heart pounding fast. What I was watching was exhilarating to say the least.Let's look more at the film (don't worry, there will be no spoilers featured). First off, the opening - the classic text followed by the panning shot to a planet (or death star) with a Star Destroyer emerging into the frame, it all features, as does the use of practical effects and puppets / robots over the extensive use of CGI that was utilised in the prequel trilogy, thus giving fans the old school style of Star Wars they wanted oh so much. The film is fast-paced, with stunning action scenes and spectacles, but not rushed, the shots linger and the camera moves gracefully, giving us a spectacular view of the situation at hand.The prequel trilogy shunted the franchise on a downward spiral, the overuse of CGI and the introduction of some of the most annoying characters in film (a-hem Jar Jar Binks), but Abrams, the finest choice of a director to reignite the franchise, did nothing more than show pure love for the films and has created a sequel that definitely exceeded my expectations. A film that features endless nostalgia with appearances from Ford (who is beyond fantastic), Fisher, Hamill even Peter Mayhew as Chewbacca and constant references to the original trilogy.The only partial negative aspect is its somewhat lack of originality, it acts more as an homage to 'A New Hope' than an original tale. But if you overthink points like this when viewing it, you won't enjoy it, so just empty your head of that and watch the film for what it is: a space opera that acts as nothing more than a sheer piece of movie magic!
ID_100041;;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;"Aside from the Classic Star Wars aesthetic that was very well incorporated in this new installment, there is really not much else to look forward to.Most scenes felt like a repetition of the previous, with an exception to changes in atmosphere. Other than that, the same three- part pattern was there: Characters verbally narrate the ""Why's"" and ""How's"" of the story, nostalgic references or characters are thrown in to help the audience feel as if the story is more intricate or clever than it truly is. Finally, the characters find a way to transport themselves to another planet or place, and the pattern repeats itself over again.In a way, the entire thing felt like an experimental development of the Star Wars Universe. There are numerous settings with a diverse range of characters, but the writing is bland, and most of the acting, except from Rey and Fin is mediocre at most. Numerous wide shots expound on well-thought out atmospheres, but this in no way justifies the lack of narrative depth."
ID_100056;;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;Lousy movie, stupid, shallow, even more childish than ever. Same sh@t, different outdated gimmicks piled on an ancient concept that never evolved to graduate from a child care center.The young black actor, John Boyega, is a terrible cast and a very bad actor, looks stupid and very unlikable. Since Obama, Hollywood and TV industries had stupidly jumped on the Politically Correct Wagon, putting many unnecessary and inappropriate black actors as leading roles. This young guy's face looked just retarded and moronically pathetic! His acting in this film had undoubtedly further jeopardized this already childish film even more painful to watch.Another politically correct must-have role was the white female leading role to match up the black role for the inter-racial relationship and/or romance is cool social agenda and the feminine and the women rights is the right time to join together with the ever demanding minority rights. By using this film to tell the public that these two minorities are far superior to the dominant white majority power. This Star Wars new flick just looked very childish and outdated with laughable story-line and scenarios, the screenplay looked like written by a bunch of Star Wars fans in junior high or high school dropouts, patching up a half-baked childish game plan to fool around. The graphics and special effects in this lousy film also looked terribly outdated and primitive, just blindly borrowed from the old flicks and never renewed even a bit. The only change was the rolling new droid. Nothing more and nothing else. Verdict: What a bomber! Those who involved in making this crap should be permanently banned from making any more movie.
ID_100068;;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;"*contains a good few spoilers!* I felt an initial thrill when the title screen and music came up, yet, despite some pleasing tense moments when I was on the edge of my seat, the well-worn familiarity made this whole film nothing more than a pleasant sepia amble down memory lane – a rehash of all I fondly remembered from the old days before everything went wrong and became a dry politics show/pantomime with Yoda leaping about in a fashion most unbecoming of a Jedi Warrior of his stature.So anyway, yep, we've seen it all before. The plot was tired and a bit straggly, like Mark Hamil's beard. Luke had apparently buggered off for some reason or other, and the Resistance needed to find him before the First Order did because hey, it's Luke man, and his Jedi Warrior status was the stuff of legend. In the meantime, naturally, they need to blow up a massive weapon that utilises the power of the sun to destroy stuff. How? By employing the cunning machinations of a very handy janitor who happens to know a thing or two about shield generators, they pop in and switch off the pesky shield like it's child's play and do what they do best, go in and bomb the heck outta the thing. Sorted.I found there to be too many plot holes to be satisfying. Why the force was so strong in the scavenger, Rey, for instance and without any training. Her lineage was not explained - if she's not a relative of someone with suitable Jedi leanings, it doesn't fit. The ease in which the Resistance penetrated enemy lines, battled and won was so easy as to feel like a redundant part of the plot. Although it was nice to see a nod to the original cast, they felt tired and redundant and the newbies didn't convince me. The new BB-8 bot reminded me strongly of Sooty the glove puppet (except less memorable) – alas he didn't hold anywhere near the magic of R2D2. General Leia Organa – what to say? Sweet as it was that she came back, her attire and countenance made her look more suited to a middle-class countryside lifestyle of pheasant shooting than of anything approaching being a working General. Kylo Ren as a wannabee Darth Vadar also fell short of being convincing, and he pranced and minced across the stage in a most un-Darth-like, manner. He'd have been stronger without the mask and the voice synthesiser; he has arresting facial features that would have packed more of a punch than the mask, which just made me compare him to Darth and it didn't work; he was like Darth's camp alter ego; a Frank N. Furter from the Rocky Horror Show (I think Adam Driver would make a *great* Frank N. Furter).So whilst I enjoyed it, I would rather have been left with 4,5 & 6 intact in my memory; with the stronger, far more charismatic, original actors playing vibrant, key roles. (Perhaps I do Rey a disservice – but the mythology of Han Solo and Leia is so great that any new actors seeking to take the baton need to be really strong in their own right – and I just didn't feel the force in her – I did quite like the character of Finn however.) Han Solo and Leia served as a misty-eyed nod to the good old days when characters were charismatic and the plots were less threadbare.Newcomers to the scene and younger people will probably love this – but to me it seems to exemplify all the things wrong with Hollywood, tired & creaky old franchises with ridiculous amounts of sequels that leech any remaining fragments of originality and credibility. It's alright, but stripped of the hype; instantly forgettable."
ID_100077;;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;Star Wars to me has always been about imagination.There's a lot that has been said about George Lucas in the last forty years, but there's one thing that can't be denied: he had imagination.JJ Abrams however does not and it shows in The Force Awakens. Besides the plot, which isn't original to say the least and has a lot of questionable elements, the visual design is very bland and derivative. The actual look and feel of the film reminds more of JJ's Star Trek films than of the original Star Wars trilogy, although luckily there are only a handful of lens flares to be seen.Even the music sounds uninspired. Which is a shame since the music was always one of the strongest parts of Star Wars.All in all it's an extremely average film, which would have been fine if it wasn't Star Wars. Star Wars is about pushing the limits and the only thing that was pushed here is your hype button.The prequel trilogy was a misstep in a lot of aspects, but at least George tried to innovate and create something new. The Force Awakens however is a big step backwards.
ID_100085;;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;This moron JJ, managed to single-handedly screw up an entire franchise. I'm not going to theatres for any future Starwars flicks, because of him. I was hugely disappointed. It just didn't feel like a Star Wars movie... I really wonder how many episodes of lost this idiot truly worked on, probably just the pilot and that's it... Why he's such a big name in Hollywood is beyond me, absolutely terrible. The way this movie was hyped up, was just ridiculous... 2 billion box office... Highest grossed Star Wars film of all time... This... This lousy piece of crap of a film. You see people? This is how Hollywood works. They don't care about the fans or the story, it's all a money making scheme in this day and age in Hollywood.
ID_100094;;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;"Star Wars To Do List: 1. Throw lots of money at an already established franchise. 2. Give a director lots of money to ""reboot"" an already established franchise. 3. Throw lots of money at a good writer who couldn't care less at this point, tell him to just tweek the first episode, then throw even more money at him. 4. Get the old beloved characters back and throw lots of money at them so they'll show up. 5. Introduce some new actors to hopefully appeal to younger audiences. Throw lots more money at them. 6. CGI and LOTS OF IT!!! 7. Throw in a bigger, more explosive death star. Blow it up, then rebuild a bigger one to blow up in the next installment. 8. And the profits start rolling in. (Disney destroys all it touches. 'Nuff said.)"
ID_100108;9;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;I just rewatched Episode 7 and maintain my opinion that I really like it. I looked through the IMDb reviews of this film and cannot believe the hatred for this film. It seems that some people just hate for hatred sake. The biggest complaint that I see is that it is a rehash of Episode 4. I have to agree that it is very similar to it but after the absolute hatred that was unfairly bestowed on the prequel trilogy I knew that this would be a big budget fan film. Which it is. I am not bothered by that. George Lucas was criticized to the point of ridiculousness about how Episode 1 thru 3 weren't like the previous trilogy that there was no other way to.go. Does episode 7 break new ground? No. Does it harken back tl.the reason i.love Star Wars? Yes. That was enough for me.
ID_100110;8;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;"Let me say this right off the bat: ""Star Wars: The Force Awakens"" is not a horrible film. I'm sure most people in their right minds will agree with this statement. I personally think that people have the wrong idea about what makes ""Star Wars"" great in the first place. It's a simple, straightforward, and fast-moving story. There are clear villains and heroes. Frenetic action that is spectacle and also suspenseful. ""Star Wars"" is not a thinking man's franchise. It never has been. So for anyone who criticizes this movie for being unoriginal and just derivative of the original trilogy: the original trilogy itself was unoriginal and derivative of fairy tales, science fiction serials, and Japanese cinema. George Lucas was a visionary in terms of bringing us an interesting and unique universe as dressing for a simple fairy tale story, and also by bringing us ground-breaking special effects. He was never a terrific storyteller, so people who come to a ""Star Wars"" movie expecting to see something that will move you or make you think, I'm sorry that you have that impression of the franchise.""The Force Awakens"" is set about thirty years after the end of ""Return of the Jedi."" In that span of time, Luke Skywalker (Mark Hamill) began training a new generation of Jedi Knights. After his academy was destroyed, Luke went into hiding somewhere within unknown space. Kylo Ren (Adam Driver) and the First Order, who are the remnants of the Galactic Empire, are looking for a map that will lead to the location of Luke, but Poe Dameron (Oscar Isaac), a pilot for the Resistance, hides the map inside his droid, BB-8. Rey (Daisy Ridley) is a scavenger on the desert planet Jakku. She finds BB-8 and also runs into Finn (John Boyega), an ex-stormtrooper who fled to the surface, and the trio escape the planet on board the Millennium Falcon. They are eventually tracked down by Han Solo (Harrison Ford) and Chewbacca (Peter Mayhew/Joonas Suotamo), who lead them to the Resistance base.I will admit, this movie is flawed. Rey is probably the worst part of this movie. It's incredibly un-dramatic to have a main character that can literally do everything by herself and never fail. Also, the story beat where we have yet another planet-killing super weapon is very dull. The forced Marvel-esque humor also feels really out of place in this franchise. This movie also has the misfortune of being followed by two of the most controversial films in the saga. I think that people will unfairly group this movie with those in a package critique of the sequel trilogy for many years to come. Which is unfortunate, because I actually think this movie shines in a lot of places.Harrison Ford absolutely steals the show in his most iconic role. It's so awesome to see him slip back into being Han Solo after thirty years. And there's some heartfelt character development here as well. He's much more mature and wise this time around. I love how he's still making and breaking deals with the low-life riff raff of the galaxy. Kylo Ren is also really cool too. It's interesting to see a ""Star Wars"" villain who struggles with the pull to the light side. We're often just shown the pull of the dark side from the perspective of our heroes, but I really like the concept that Kylo Ren is a lost individual who might not be as evil as he would like to be, and that certain actions he takes in the film don't necessarily satisfy him in the ways that he would like. This is good character writing.Finn is slightly less compelling. I like the idea of one of our heroes being an ex-stormtrooper, but this concept never really goes anywhere after he initially leaves the First Order. I like the scene where he fights one of the other stormtroopers, but I wish we were given more scenes where we may have been shown the impact that the First Order had on him. Maybe if he had a good friend that he had to leave behind or something like that.The plot is always straightforward and very easy to follow, which is a lot more than can be said for other ""Star Wars"" movies. Like I said earlier, this franchise is not meant to be taken so seriously. They're light-hearted adventure movies. Action scenes are visually engaging. The lightsaber duel at the end is visceral and brutal; it feels much more like an actual sword fight than the highly choreographed ballerina-twirling of the prequel trilogy. And that can be said of this movie in general; there seems to be so much more life and energy here than in the entire prequel trilogy that preceded it.The ""Star Wars"" saga had a definitive ending with ""Return of the Jedi."" There didn't need to be any other movies expanding the story beyond the destruction of the Empire. There's also the sad reality to contend with that ""The Force Awakens"" will always be attached to the abysmal mess that was ""The Rise of Skywalker."" But if you take this movie alone on its own; if you sit down with a bowl of popcorn and dim the lights and just shut off your brain for two and a half hours, you're going to be surprised by how much you actually like this movie. The energy and life and fun that it has with itself propel it beyond its confines within a larger saga. People really need to just chill about ""Star Wars"" and learn how to enjoy a fun movie. This is a fun movie."
ID_100115;10;I'm sorry for the inconvenience, but I need a text comment to predict the movie rating. Could you please provide one?;"My intention is always to keep my reviews spoiler-free, and this will be no exception.Since January 2013, when it was announced that J.J. Abrams would take on the onerous job of directing Star Wars 7, Star Wars fans have held their collective breath. You could feel the nervous tension, mixed with fervent anticipation, as the lights dimmed at the packed midnight showing at 00:01 on 17th December 2015. Could Abrams deliver or would the Disney-powered hype dissolve in a lens-flared dissipation of metaclorians? Well, the wait is over and the result is in. And it's a triumphant victory prepare to be gushed at! I would normally recap the basic plot at this point in my review, but to do so could potentially ruin some of the monumental twists and surprises of the story, which is both simple but Shakespearean in its breadth. The film has been a masterclass in marketing, throwing up feverish debate in the fan-world: why was Luke Skywalker (Mark Hamill) absent from both the trailers and the poster? Why is one of the heroes, Finn (John Boyega), seen wearing a stormtrooper outfit? Who is Kylo Ren (Adam Driver)? No answers here, but all great questions skillfully answered through the screenplay.So I will stick to the well-worn facts of the pre-publicity: that the film is set some 30 years after the historic events of ""Return of the Jedi"" (but still a ""Long Time Ago""), and centres on talented yet frustrated starship mechanic Rey (Daisy Ridley) stranded in a dead-beat job on the desert planet of Yakku (which all feels nostalgically familiar to someone who is old enough to have been there at the start of it all). Through the intervention of a droid with an embedded secret (ditto) she is dragged into the workings of the Republic's fight against a resurgent dark-side in the form of ""The First Order"", going 100% Hitler including an alien Nuremberg-style rally that is all red, black and white.What makes the film succeed is a strong emphasis back on story and character over effects (with the latter of course still being awesome). All of the acting is fine, with Oscar Isaac's heroic pilot Poe Dameron being particularly strong and Domhnall Gleeson (""Brooklyn"", ""Ex Machina"") almost unrecognizable to me as General Hux, mouthpiece to the First Order. Daisy Ridley and John Boyega both impress as the 'unknowns' in the cast, albeit with (particularly in the case of Ridley's Rey) a few rough acting edges in some of the dialogue that will smooth with age and fame.Rey is a wonderful female character at the heart of the film, the strongest role model for women in action films since Sigourney Weaver's Ripley in ""Alien"". Athletic and tough, yet still showing a feminine grace and beauty in her Greek goddess-inspired apparel.It's also fabulous to see the original trilogy cast again, all older and nicely wizened, with Han Solo (Harrison Ford) being delightfully crusty and only Carrie Fisher's Leia perhaps suggesting that even with all the high tech that existed back then, they still hadn't quite mastered cosmetic surgery. Even the inside of the Millennium Falcon – queue audience cheer as the rust-bucket hoves into view – looks like its had a chip-fat fire or ten too many and could do with the hire of a steam cleaner. (And Abrams judiciously resists the urge to lens flare it, which is a plus!) What a treat also that the 'hidden' originals of Anthony Daniels (C3PO), Kenny Baker (R2D2) and Peter Mayhew (Chewbacca) all had the chance to reprise their roles again. They are joined in the ""I was in Star Wars not that you'd know it"" club by Lupita Nyong'o (from ""12 Years a Slave"" and ""Non-Stop"") as a sort of alien commune leader (reminiscent to me of The Simpson's Professor Frink), Mo-cap expert Andy Serkis (""The Lord of the Rings""; ""Planet of the Apes"") as supreme leader Snoke and the very lofty Gwendeline Christie (""Game of Thrones"") as the stormtrooper Captain Phasma.In fact it's almost impossible to criticize this film. It's as near a thing to perfection as I could imagine. It has obviously been lovingly crafted by people (and a lot of British production talent) that clearly had to pinch themselves that THEY were getting to work on a Star Wars film. The script by Abrams, Lawrence Kasdan and Michael Arndt zings along like an express train, with some great snatches of appropriate humour delivering laugh out loud moments. It certainly avoids a lot of the cheesy lines that were one of the few things you could criticize the previous Star Wars masterpiece ""The Empire Strikes Back"" for.John Williams delivers a stonkingly powerful score, with new themes for the new characters mixed with a nostalgia-filled return to the classic old themes, all deserving of a proper listen-to via the soundtrack album.After this experience, I'm personally sorry that Abrams is not doing the next one too: Colin Trevorrow (""Jurassic World"") has a challenge on his hands and a high-bar to reach.I feared Abrams might make a cack-up of Jar Jar proportions with this one, but I am truly delighted to be proved wrong. I predict that all fans of Star Wars of whatever age will love it, and wish that Hamill, Fisher and Ford would all go on to star in Episodes VIII and IX. Fantastic cinema. Go see it, and ideally before any spoilers emerge."
