ID;rating;Prediction;text
ID_100001;7;2;This film really is nothing more than an Advertisement. I'll admit the first time I saw it at the movies I thought it was pretty good, and i watched it another two times with friends and family over the course of a month before it finally left theatres. But after seeing it again, I realised something is off, something is not right about this movie. It's completely hollow with nothing beyond its visualsThe movie is well shot, I'll say that. It has great looking effects, but it's only there to hide the fact that once you look past all the superficial razzle dazzle to hide the mess underneath. The movie is nothing more than a shadow of the previous movies. Everything about it feels rushed. The characters are so aloof and seem almost brain dead. The dialogue is so shallow and paper thin, it's like the writers just gave up. The characters hardly develop or learn anything and Rey's transition to a Jedi is so fast and forced, you can see how how obvious that the writers were too lazy to even bother to give give her a proper arc and story and make her feel like an actual human we can care about. Because that would be too long and boring, wouldn't it... God forbid challenge people's short attention spans... Who even needs real developed characters... Nobody cares about that anymore... Just give them the razzle dazzle crap or whatever???It really is sad just how empty this movie is. The third time I watched it, it actually physically left a bad taste in my mouth, thank god for popcorn...
ID_100002;8;10;Star Wars: The Force Awakens Is a newest chapter in the long running Space opera saga, taking place 30 years after the events of Return of the Jedi. We learn from the opening text crawl that in the absence of Luke Skywalker, the sinister First Order has risen into power led by the menacing Kylo Ren(Adam Driver), who is on the hunt for the last Jedi Knight Luke Skywalker. He is introduced into the film in an explosive sequence setting the tone for the remainder of the film. Driver brings a lot of raw emotion to the part of Ren, who's being tormented by his feelings, and lure to the Light and Dark side. During the opening scene Ren comes into contact with newcomer Poe Dameron(Oscar Issac) a rebel fighter pilot regarded as the best in the resistance. Who is handed a vital piece of information, that could lead to the whereabouts of Luke Skywalker, and thus sets off a chain of events bringing in old and new characters alike. Issac brings a-lot of likability as Poe to the film, and was reminiscent of Han Solo(Harrison Ford) In the original trilogy. Whilst on the Planet of Jakku we're introduced to Finn(John Boyega) a disillusioned stormtrooper, who wants out of the First Order. Boyega plays the part with a lot enthusiasm, and joy he brings a lot of laughs to the story whilst maintaining his own dramatic moments through out the story. He eventually comes into contact with a scavenger named Rey(Daisy Ridley) on the planet Jakku. Who struggles to make a living finding scraps/relics for food, she is also torn between waiting for her family to come back, and realising that her journey is much more then salvaging parts, when She crosses paths with Finn and a lovable new droid named BB8. After a thrilling escape from the First Order our heroes come across veterans of the original series Han Solo(Ford) and the Wookie Chewbacca(Peter Mayhew). Ford does a good job of tying the mythos of the original trilogy, and connecting us with the newcomers, without ever leaving old viewers feeling cold and new viewers guessing as too what is happening.From the moment the film begins it maintains a breakneck pace, that hardly allows the viewer to stop and reflect what's happening with the plot of the film, which Is a good thing, because there are a-lot of plot holes In the film. We are also given enough information sprinkled throughout the film so that all the new characters feel fleshed out enough, to make us care about them.The film spends most of the first half on a desert planet named Jakku, The cinematography Is beautiful to look at, the screen Is filled with sweeping landscapes that gives the world a vast feeling of isolation and hopelessness. Disney brought In director JJ Abrams, who recently came off of rebooting the successful Star Trek franchise. He's the perfect choice to re-invigorate this franchise, his use of practical effects give this film a weight that all the prequels were sorely missing. We feel the size and scope of Starkiller Base, the heaviness of the Lightsabers, you feel the impact of the blaster rifles. The use of real locations and sets also give the film a-lot of natural colour which bursts onto the screen. Where-as the prequel trilogy which was all shot on digital, and Used a lot of CGI characters and effects. CGI in the film is used to a minimum and only used when needed. There were however a couple of characters, Unkar Plutt and Maz Kanata which felt like they could of been done better. In a couple scenes they look out place when surrounded by practical effects and actors in costumes and make up. Overall the film is visually stunning to look at because of this it gives the film(and series) a fresh vibrancy that has been lacking since Return of the Jedi. There are also just the right amount of callbacks, without it becoming crowd-pleasing, there is a plenty of nostalgia and references to the original films that fans of the series will recognise. John Williams also creates a new score with him that feels a little lacklustre when compared to original and prequel films. The only memorable theme being Kylo Rens.There were on the other hand certain aspects of the film which felt like it was treading old water from A New Hope, especially Starkiller Base, which is essentially a third Deathstar that feels like it's only part of the film so there's a third act, for all our heroes too band together and fight. It's hard not too notice certain similarities from the A New Hope, and at times feels like It's been done to play things safe after the backlash of the Prequels. The film is also filled a lot of humorous moments as-well, which helps to lighten up some of the darker aspects of the film, although not every joke hits the mark, and occasionally they feel out of place, especially during the the last act of the film.Star Wars the: The Force Awakens is filled with excellent set pieces which immerses the audience back into the universe. We're given enough plot information, and character development to draw us into the the new generation of characters. Whilst some areas feel familiar, there Is a lot too love about this film, watching this In the Cinema was an Incredibly exciting and engaging experience, which had me feeling like a kid watching the original films for the first time and being swept away into a galaxy far, far away. This film has resurrected the Star Wars franchise, and made it one of the must see film experiences of the year.
ID_100003;8;10;When I go to the movies, I aim to experience one thing: escapism. Even if it's for only two hours, I like to occasionally escape this often unfair world we all live in and lose myself in a fictional adventure. And I think I speak for both the young and the young at heart when I say that Star Wars has brought escapism to audiences all over the globe and for many generations over the past 40 years.I was born in the mid 1990s, so I never had a chance to experience the original Star Wars trilogy on the big screen and this was something that I had a hard time accepting ever since I was a child. I never thought I would be able to see Luke Skywalker, Han Solo or Princess Leia on the big screen ever in my life time. So you can imagine my excitement when I found out that they were making another Star Wars film that was not only inventing an entirely new cast of fresh faced characters, but was also bringing back the cast from the original films, who that of which have not walked on a Star Wars set for over 30 years. So it brings me great delight to be able to tell you that the most recent installment in the franchise did not disappoint.The new characters of the film are all fully developed and come with their own strengths and insecurities. They don't clash with the old cast, but instead melt beautifully with them in every scene. Daisy Ridley, John Boyega, Oscar Isaac and Adam Driver all do amazingly well. The old cast of course are all stellar too. They slipped back into their respected characters so seamlessly, it feels as though no time has passed at all.I was already familiar with J.J Abrams directing style going into this film. He, once again...does not fail to impress. This film is rife with stunning cinematography. The various locations are as gorgeous as they are aesthetically pleasing. CGI is used in this film, but to my relief it does not overpower the organic and practical effects. The environment in which these characters are staged in feels so authentic and believable, you feel as though you are a part of the journey yourself. It's instantly apparent that this film was made by a man who loves Star Wars just as much as we do.Overall, the film is a triumph. It's a wonderful collaboration of new and old filming techniques that combine beautifully to create the ultimate Star Wars film that everyone can enjoy. It doesn't matter if this is your first experience with the Star Wars saga, or if you've watched all of the films one hundred times over, fans both new and familiar will equally appreciate the love and care that was tirelessly thrown into this dazzling, epic adventure. I anxiously await the next installment.
ID_100004;8;10;If there's any movie you should see in theaters, The Force Awakens is it. From the first frame you're sucked right back into the Star Wars universe, and that's probably the best part of the movie - it feels genuinely like Star Wars. Not a child-pandering political farce (The Phantom Menace), a melodramatic soap opera (I'm looking at you Attack of the Clones) or a CGI filled sensory overload (Revenge of the Sith anyone?). No, it's barebones Star Wars. Visually stunning, constantly engaging, and most of all, it's incredibly fun. There are a lot of parallels with A New Hope, like how we're beginning this epic adventure with vastly different characters and learning their stories for the first time. And it shares the basic outline of that movie as well from the monumental opening shot to its massive riveting climax. It's a blast from beginning to end, and especially exhilarating in a packed IMAX theater. The characters are easily relatable from the moment they're shown. Their stories are simple and to the point, allowing the audience to follow them in their journey every step of the way. There's also a lot of humor in the movie, and not the dopey kind either. It's clever and self-referential humor that suits the characters and their motivations while also being damn funny in context.It's hard to put this into words because if you're a fan, you're well aware that watching Star Wars is an experience. There's a rush of being back in the universe and seeing some of your favorite characters again. The threats are even bigger this time around. The First Order is what the Empire has become, led by Supreme Leader Snoke and his apprentice Kylo Ren. At first glance Kylo might seem like a second-rate Vader, but he has much more depth than that. Things are revealed in the movie that piece everything together, and when all is said and done, Kylo Ren is not only a great villain but a great character - charismatic but insecure, arrogant but unexperienced. You can empathize with him at times, but it's obvious there's great darkness within him, and not only because of his haunting mask. The heroes Rey and Finn are immediately likable and easy to root for, and when they start uncovering the bigger picture behind the First Order's sinister plot, they behave exactly as you'd expect them to. Not pompous or valiant but hesitant and curious, at least until their lives are on the line and the only way for them to survive is to band together. Then their inner heroism comes to light.Everything about The Force Awakens is phenomenal - the acting, directing, and writing are all on point, and it serves as a wonderful template for this new Star Wars era. I don't need to spoil anything because the fact is, if you loved the original trilogy you're going to love this. Hell, if you're a fan of good cinema you should love this. Episode VII is what Star Wars fans have been yearning for, and when all is said and done, I couldn't ask for anything more.
ID_100005;9;10;"It's as if millions of Star Wars fans suddenly cried out in criticism and were suddenly silenced. That's the effect this movie *should* have on most (other than those who'd already decided they were going to be disappointed/hate it no matter what). For all the SANE Star Wars fans out there, I'm happy to report that the Force is strong with this series once again (after taking a walk on the Dark Side with the prequels). All other shoddy imitations take note: THIS is how you do a space opera. The Force Awakens possesses everything that was missing from the soulless prequels: we have a non-snooze-worthy storyline, likable new characters, great acting, non-cringe-worthy dialogue and not such a reliance on only CGI effects/green-screen. The pluses of this movie are in abundance, starting with what's new. All those with reservations about the fresh young actors cast to play new characters Rey and Finn should sit back, relax and watch the beautiful chemistry between the two as their characters form a believable friendship/dynamic on screen like that of the Original Trilogy's trio.Daisy Ridley more than proves she's up to the challenge of having a large portion of the new trilogy rest on her shoulders. Rey is a scavenger with a good heart (as evidenced by her rescuing BB-8, a droid carrying something important). Whilst certain people (who for some unfathomable reason don't like seeing a woman who can handle herself) may take this new female lead (who is smart, brave, kind and just all around awesome) as a personal affront to them, for the rest of us who *don't* hate seeing a woman take centre stage, this is what we've been looking for in a female character for so long. She's everything you could hope for, but not without her faults, as she does make some mistakes (but not enough to hate her for it). She's flawed, but much more interesting because of this. Ridley imbues her character with so much heart/soul, she conveys a lot with just looks and even proves adept at humour as well. Most importantly, she's *likable*, forming instant friendships with other characters who we already like (so we know she's awesome). Any gripes about her would be nitpicky/for petty reasons.Sharing Ridley's responsibility as one of the new faces of this trilogy is John Boyega as Finn, a former Stormtrooper who refuses to go along with the rest in doing something terrible. It's after this that he meets Oscar Isaac's Poe Dameron, who he forms an almost-immediate friendship with. Out of the three new leads, Isaac's Poe is probably given the least development, but he manages to make it believable that he and Finn become close friends in such a short time. The best dynamic, though, is without a doubt the one formed between Rey and Finn. The way they play off each other with such ease is, in large part, thanks to the actors, but also the dialogue being snappy/quick-witted. They share a fun friendship, becoming quite close, and the actors' enthusiasm/energy helps a lot, as they're truly inhabiting their roles/believing in who they're playing as well as the universe they're a part of (where characters talk/act in a unique way). One of many things the prequels sadly lacked was heart, but this movie/these characters have it in spades.Adam Driver's Kylo Ren picks up where Darth Vader left off as our main villain and is clearly devoted to his memory (since he talks to his burned mask). Driver is quite good at playing the bad guy, though he is prone to the occasional 'hissy fit' with his crossguard lightsaber which verges into slightly over-the-top/petulant teenager behavior. Thankfully, when the big moments occur, Driver shows real emotion/conflict within his character. His lightsaber duel, first with Finn and then Rey, is everything the over-choreographed prequel duels were lacking. They may've had the needless fancy twirling and whatnot, but here we have rough and tumble, gritty fights between someone skilled and two people who are only just learning what they're capable of. Plus there's real emotional investment, which helps. It's an epic tension-filled battle, which is a BIG plus with this movie, as we don't know what's going to happen.Naturally, it's good to see our old favourites back (Han, Chewie, Leia, R2-D2, C-3PO, even the Millennium Falcon, all of which received applause at my screening). Those claiming this film relies on nostalgia/good will towards the original films alone are mistaken. Whilst the prequels included familiar characters/moments just for the sake of callbacks, what they do here is much more satisfying. Han is his usual charming, funny, ""scruffy-looking nerf-herder"" self, but he forms attachments to our new characters, and his dynamics with them allows for some of the film's best moments. The movie certainly has humour, but thankfully it's not the ""cutsie"" nauseating variety found in the prequels. There are genuinely funny moments for young and old alike.J.J. Abrams has been unfairly criticised, when he should be receiving thanks. He had the unenviable task of reinvigorating/re-energising the franchise after the prequels nearly killed it and has managed to do so successfully. So what if there's some familiarity? My only quibbles were Domhnall Gleeson's shouty performance and Andy Serkis' CGI Supreme Leader Snoke. In most other instances, Abrams ensured that, along with story/character development, locations/miniatures/practical effects/make-up took precedence over a reliance on CGI/things that simply 'looked cool'. Some familiar musical themes appear on the score, but there are also some new ones which I appreciated were more restrained and not so 'in-your-face' as certain popular themes introduced in the prequels. There is also an abundance of excellent shots throughout the movie; quite a few are instantly iconic. It would be quite the feat for the following films to match this thrilling/exciting and enjoyable/satisfying first chapter of a new era in the saga. If nothing else, at least The Force Awakens easily beats The Phantom Menace in being a great start to a new trilogy of films."
ID_100006;6;6;"From the virtue signaling of social justice, to the cheap-jack plot-line which was easily discerned in advance, to the awful acting which evoked little but hooting from me, I was, as you can see, disappointed, and in some cases outraged. If you dare to join me, I will explain.I have nothing against diversifying the Star Wars universe, which is why I LOVED Star Wars 1, with its Oriental villains, Jamaican Gungan, Jewish scrap dealer, and more. It was a delight of indulgence which fleshed out characters of charm, making the experience vivid and interesting. But after Lucas received flak for ethnic portrayal, Jar-Jar became boring in Star Wars 2. In Star Wars 7, this pandering becomes intolerable. It's fine that Leah has the force, and it's fine that Rey inherited it, but Finn is gratuitous in his race. I would have nothing against this either but they make Finn formidable with a light-sabre against Kylo Ren. And please don't soft-soap me that love gave Finn the strength and skill to take on a pupil of the force - only hate has that power, the dark side. Otherwise, one must be cool and focused. Given this, I dismiss Finn and therefore it irritated me to watch Kylo Ren sword-play with Finn and not simply crush his windpipe with a wave of his hand, or penetrate his mind, which seems to be Ren's forte. As for Kylo vs. Rey, a bit more believable, but it made Kylo seem almost inept. Really? Rey's raw ability with zero training is tougher than Kylo with training? Not even close to believable.What didn't I like about the plot? Well, first, aren't we simply replaying Death Star destruction from the first trilogy? Why, yes we are. And it looks like the Supreme Leader made all the same engineering, logistic, and tactical errors as the Emperor, just on a grander scale, including the convenient ""having to recharge the cannon"" just long enough for the Resistance to ""win the day."" Yawn. Second, much of the plot was geared to exploit the Skywalker/Solo family tree, and there was no thrill to any of it. Darth Vader is Luke's father - WHOA! I jumped out of my seat. Han is Kylo's father? Zzzz. Even if you wanted to say this was a remake, which it's not, it doesn't have the pizazz, never mind the oomph, of the original. But what does? But the acting is where I think I really blew my cool. I can understand characters of convenience, and plot-lines of olde being rehashed, but it has to be acted well to pull it off. Even in Star Wars 3, as sappy as it was, the acting was GREAT, IMO. In Star Wars 7, Harrison Ford is just about limping to his finale, Carrie Fisher looks doddering and not commanding, Daisy Ridley grits her teeth so often I thought she was Red Sonja, John Boyega makes a concerted effort to appear naive at every turn (which makes his good fortune all the more unbearable), Adam Driver does not look torn in the least, and so forth.I can point to hundreds of interesting and thrilling moments from the first six episodes of Star Wars which makes a complete weekend binge-watch, over and over again. Star Wars 7 does not add to that excitement. The tech seems standard, the CGI a little too self-conscious, the nostalgic cheese forced, the push forward too bossy and not natural. Still, I give this film a 6 in the hopes that Star Wars 8 will push the envelope once again."
ID_100007;9;9;Loved the original 'Star Wars' films as a kid, still do. Especially 'Empire Strikes Back' while considering 'A New Hope' a genre landmark. Didn't think the prequel films were that bad personally, but they had a lot wrong with them and were a long way from great, especially 'Attack of the Clones'.Despite seeing 'Star Wars: Episode VII- The Force Awakens' around the time it first came out (maybe a little after), there was a long time of being put off by the vitriolic hate it's gotten here and the practical war zone there is in order to review it (even when it was critically acclaimed). Finally mustering the courage, count me in as somebody who loved 'Star Wars: Episode VII- The Force Awakens'. A masterpiece? No. Better than the prequels? Absolutely, and although some may disagree this is saying a lot. The best 'Star Wars' film since 'The Return of the Jedi?' Yes.'Star Wars: Episode VII- The Force Awakens' is not the most original plot-wise. It has been criticised for being a re-hash of 'A New Hope', understandably. However, instead of being done in a cheap and slap-in-the-face way, it felt like an affectionate and nostalgic homage. Exemplified by bringing back major characters from the original trilogy in supporting roles. JJ Abrams, and this may be considered blasphemy, does a much better job here than he did with his 'Star Trek' reboot films, here he keeps the original spirit of the original trilogy intact while giving the film its own identity at the same time.While it certainly dazzles in spectacle and action, 'Star Wars: Episode VII- The Force Awakens' doesn't feel too big, too noisy or too chaotic at the expense of creating memorable characters, a fun story and brains and heart. The characters are memorable with easily identifiable leads, the original trilogy characters bringing a lot of affectionate nostalgia and a well executed if not iconic (not by Darth Vader standards anyhow) villain in Kylo Ren (unpredictable and dangerous but feeling he is morally justified).The story lacks originality but more than makes up for it in energy, non-stop heart-thumping thrills and excitement, generosity, a cheerfulness that is positively space operatic, vibrant charm and a few fresh twists along the way. In many ways it is a celebration of the universe while also an expansion of it. It is sometimes sentimental but never overly so, one crucial death scene is just heart-wrenching (particularly Chewbacca's reaction) and doesn't feel like a slap in the face to the character in question.Could the villains have been better written? Ren is fine but Snoke only just about works as a character thanks to the visual effects and especially the powerfully enigmatic with a touch of vulnerability performance of Andy Serkis, other than that the character is underwritten. Also felt that Gwendoline Christie's character was unnecessary, so limited was her screen time.Visually, 'Star Wars: Episode VII- The Force Awakens' is a triumph. It is gorgeously shot and designed with Abrams' visual storytelling shining far more here than it has in other films he's done. The special effects are a dazzling marvel. John Williams delivers yet another rousing score that has its own character but cleverly includes the well-known iconic themes from the previous films. Thank goodness that the dialogue contains little to none of the cheesiness heard in the prequels, and it even has more layers than that of the original trilogy.Acting also shines, with winning charismatic performances from John Boyega and particularly Daisy Ridley. Mark Hamill, Harrison Ford and Carrie Fisher still have it, while Max Von Sydow shows himself to be a master of gestures and eye contact speaking louder than words. Adam Driver is a suitably menacing Ren and Serkis makes much of his somewhat underwritten character. Oscar Isaac gives a typically strong performance.In conclusion, a great film, the best 'Star Wars' film since 'The Return of the Jedi' and one of the best of the saga too. 9/10 Bethany Cox
ID_100008;9;9;"Star Wars: The Force Awakens steps into a big boots and fills them honorably. The Force Awakens look, feels and sounds like the real Star Wars movie. It contains all the elements that made the original story so epic. It tells an epic story with great scenery and with fine action and adventure. The Force Awakens is like a reboot of an original story, but the same time it is clearly continuation to an original saga. The story and characters are written well. Actors and actresses get through greatly at their roles. No one feels lame or factitious. The story is clearly a tribute to Han Solo, but at the same time it brings new characters well present. Maybe only one thing is not perfect. The story serves background stories of some characters almost too easily and dish out them with no big surprise which made the original movie so epic. The original story was actually a soap opera of one family. There are some elements in this story too, but they are reveled almost too easily. Greatly the story leaves enough of loose ends, so probably we will get bigger surprises of the characters later at upcoming movies.Star Wars: The Force Awakens is loyal to its fans and it lacks of prequels plastic look. It looks familiar, but at a same time it is fresh and interesting. Iconic characters are brought back honorably, but at a same time it tells a new story with new characters. It offer a nostalgic and new epic adventure at same package. Great script offers enough of action and adventure. It almost feels like George Lucas says: ""This is what the Star Wars meant to be"".J.J. Abrams manages to refresh Star Wars saga to present day without forgetting the original fans. It almost feels like I was again that 12 year old boy at 1977, who watched the original story 13 times in two weeks.I watched this movie first time in 2D, but I will watch it again and next time I will see it at 3D, so I will add later to this review how 3D worked in this movie."
ID_100009;5;5;"In essence a remake of 'A New Hope' as opposed to a proper sequel, the check-box resemblance this long-awaited revival shares to its franchise's debut is genuinely uncanny and sadly staggering since this was the perfect opportunity to try something new considering that the 'Star Wars' moniker is a powerful enough box-office draw to recoup any budget, apparently no matter how exorbitant, and withstand more than a few bad apples (*cough* the prequels *cough*). What's here in 'Star Wars: Episode VII - The Force Awakens (2015)' is based on nothing more than nostalgia, a series of slightly sickening ""remember this thing""'s and ""this guy still looks the same but he's grey now""'s that become incredibly tiresome increasingly quickly. If you take away the franchise underlayer you're just left with a hollow, characterless piece that gives you no reason to care and very little actual information despite all its endless exposition. In the end, I was honestly bored even during all of its high-flying fanfare. 5/10"
ID_100010;10;10;"How do you please franchise fans old and new while making a good, impactful and memorable movie? Do exactly what JJ Abrams did here, to a tee. My friends, real fans who grew up with the original trilogy and watched this one with me, expressed a physically relief of feeling there was very little to complain about and that ""'they' didn't mess it up"", but my feeling was even more positive. They exceeded my high expectations, brought me into a mysterious and magical voyage and left me wanting more until the last frame. A real cinematic experience.Star Wars formula could be deemed to appeal to simplicity (like good vs evil) with a few twists. Fun fact and contingent to the same doctrine, the majority of its meaningful characters name limit themselves to 3 or 4 letters: Han, Luke, Leia, Yoda and now Rey, Poe and Finn. If not letters, we can substitute numbers: R2D2, C3PO or BB8.Well, we can now focus on 2 letters: JJ. JJ Abrams directs and co-writes this brilliant installment in the multi-billion dollar franchise which set ridiculous revenues after a record-breaking first day (not counting merchandise and video sales)It also comes with extremely favourable critics and has started an epic new trilogy as well as spin-offs we all hope will continue to remain a high level of quality such as Rogue One already did incredibly. But back to this highly anticipated sequel which manages to create nostalgic moments with its characters, settings and story. Every Star Wars Fans will enjoy the scenery of a defunct Star Destroyer in the desert, but overall cinematography and scenery is in fact the best of all the Star Wars by its beauty and diversity. We get sultry desert in Jakku like Tatooine and forest like Endor. We get beautiful snow that surpass Hoth, buildings and water like Naboo and idyllic Irish-like islands. Daniel Mindel is the cinematographer who also did marvels with JJ on the first 2 Star Trek reboots. Every battle scene is sweeping and spectacular with many elements, motion and emotion. Humour is effective and tension is well crafted and augmented by sound, music and editing.Here Abrams outdoes himself by keeping it crisp with new likable and believable characters, great acting and superb directing to keep everything flowing and fans following. We feel for the characters, old and new. We are intrigued and we do not want it to end. A pretty much perfect movie of the genre and for a new generation, with Rey a particular stand-out.Han and Leia were not only there for older fans, but make it work as very important elements to the story. The writing and directing for them is just right, like the rest of the movie. Award-worthy, action-packed, well-paced, high expectations delivered and then some.It's decisively the best Star Wars yet, and that is no small feat. One small step for a fan, but a giant leap for longevity and quality!Rian Johnson has some SERIOUS shoes to fill for Episode 8.10/10"
